BookID,Title,Authors,Abstract,Keywords,PublicationDate,Categories,Publisher,ISBN,UserRating,NumberOfRatings,Popularity
1,The Great Gatsby,F. Scott Fitzgerald,A story of the mysteriously wealthy Jay Gatsby and his love for Daisy Buchanan.,"Wealth, Love, America",1925-04-10,"Classic, Fiction",Scribner,9780743273565,4.4,3590,2750
2,1984,George Orwell,A dystopian social science fiction novel and cautionary tale.,"Dystopia, Totalitarianism",1949-06-08,"Science Fiction, Dystopian",Secker & Warburg,9780451524935,4.8,2513,2300
3,To Kill a Mockingbird,Harper Lee,"A gripping, heart-wrenching, and wholly remarkable tale of coming-of-age.","Race, Justice, Childhood",1960-07-11,"Classic, Fiction",J.B. Lippincott & Co.,9780061120084,4.9,4212,3250
4,Pride and Prejudice,Jane Austen,A romantic novel that charts the emotional development of the protagonist.,"Romance, Society, Family",1813-01-28,"Romance, Fiction",T. Egerton,9781503290563,4.7,3785,2200
5,Moby Dick,Herman Melville,A sailor's narrative of the obsessive quest of Ahab for vengeance on the white whale.,"Adventure, Obsession, Revenge",1851-11-14,"Adventure, Fiction",Harper & Brothers,9781503280786,4.0,1987,1950
6,War and Peace,Leo Tolstoy,A novel chronicling the French invasion of Russia and its impact on Tsarist society.,"War, Society, Russia",1869-01-01,Historical Fiction,The Russian Messenger,9780199232765,4.6,2541,1800
7,The Odyssey,Homer,"An epic poem attributed to Homer, recounting the adventures of Odysseus.","Epic, Adventure, Greece",800-01-01,"Epic, Poetry",Unknown,9780140268867,4.3,3120,2400
8,Ulysses,James Joyce,A novel by James Joyce about the events of a single day in Dublin.,"Stream-of-consciousness, Modernism",1922-02-02,Modernist Fiction,Sylvia Beach,9780199535675,3.8,1921,1600
9,The Catcher in the Rye,J.D. Salinger,A novel about a teenager's alienation and rebellion against society.,"Alienation, Youth, Rebellion",1951-07-16,"Classic, Fiction","Little, Brown and Company",9780316769488,4.5,4981,2900
10,Brave New World,Aldous Huxley,A dystopian novel set in a futuristic world controlled by technology and government.,"Dystopia, Technology, Control",1932-08-30,"Science Fiction, Dystopian",Chatto & Windus,9780060850524,4.2,3214,2500
11,Frankenstein,Mary Shelley,A Gothic novel about a scientist who creates a grotesque creature.,"Science, Creation, Tragedy",1818-01-01,"Gothic, Fiction","Lackington, Hughes, Harding, Mavor & Jones",9780486282114,4.2,3850,2800
12,The Hobbit,J.R.R. Tolkien,A fantasy novel that follows the quest of Bilbo Baggins.,"Adventure, Fantasy, Quest",1937-09-21,"Fantasy, Adventure",George Allen & Unwin,9780547928227,4.9,5890,5000
13,Crime and Punishment,Fyodor Dostoevsky,A psychological novel focusing on the mental anguish of a man.,"Guilt, Crime, Redemption",1866-01-01,Psychological Fiction,The Russian Messenger,9780140449136,4.7,3120,2900
14,The Brothers Karamazov,Fyodor Dostoevsky,A novel exploring philosophical and spiritual struggles.,"Family, Faith, Morality",1880-01-01,Philosophical Fiction,The Russian Messenger,9780374528379,4.8,2840,2700
15,Great Expectations,Charles Dickens,A coming-of-age story that portrays the education of Pip.,"Growth, Society, Class",1861-01-01,"Classic, Fiction",Chapman & Hall,9780141439563,4.6,4012,3300
16,Don Quixote,Miguel de Cervantes,The adventures of a nobleman who reads too many chivalric novels.,"Adventure, Satire, Chivalry",1605-01-01,"Classic, Fiction",Francisco de Robles,9780060934347,4.4,3980,3200
17,The Divine Comedy,Dante Alighieri,"An epic poem describing Dante's journey through Hell, Purgatory, and Paradise.","Journey, Afterlife, Theology",1320-01-01,"Epic, Poetry",Unknown,9780140448955,4.3,2520,2500
18,The Iliad,Homer,An epic Greek poem about the Trojan War.,"War, Heroism, Greece",800-01-01,"Epic, Poetry",Unknown,9780140275360,4.5,2600,2450
19,Dracula,Bram Stoker,A Gothic horror novel about Count Dracula's attempt to move from Transylvania to England.,"Horror, Vampires, Gothic",1897-05-26,"Gothic, Horror",Archibald Constable and Company,9780141439846,4.0,3410,3100
20,The Lord of the Rings,J.R.R. Tolkien,A high fantasy epic recounting the quest to destroy the One Ring.,"Fantasy, Adventure, War",1954-07-29,"Fantasy, Epic",George Allen & Unwin,9780544003415,4.9,4990,5100
21,The Metamorphosis,Franz Kafka,A story about Gregor Samsa who turns into a giant insect.,"Transformation, Identity, Isolation",1915-01-01,Modernist Fiction,Kurt Wolff Verlag,9780553213690,4.1,2750,2400
